Date,Value
2017-12-31,582000.0
2017-11-30,599000.0
2017-10-31,619000.0
2017-09-30,575000.0
2017-08-31,550000.0
2017-07-31,549000.0
2017-06-30,564715.0
2017-05-31,594000.0
2017-04-30,589450.0
2017-03-31,575000.0
2017-02-28,577450.0
2017-01-31,589000.0
2016-12-31,585000.0
2016-11-30,545000.0
2016-10-31,525000.0
2016-09-30,534900.0
2016-08-31,549000.0
2016-07-31,549900.0
2016-06-30,549900.0
2016-05-31,549000.0
2016-04-30,529990.0
2016-03-31,549450.0
2016-02-29,559000.0
2016-01-31,572500.0
2015-12-31,595000.0
2015-11-30,595000.0
2015-10-31,585000.0
2015-09-30,568000.0
2015-08-31,579500.0
2015-07-31,599450.0
2015-06-30,609900.0
2015-05-31,613750.0
2015-04-30,599450.0
2015-03-31,610000.0
2015-02-28,622500.0
2015-01-31,632500.0
2014-12-31,629000.0
2014-11-30,632500.0
2014-10-31,615000.0
2014-09-30,579000.0
2014-08-31,579000.0
2014-07-31,547000.0
2014-06-30,524900.0
2014-05-31,505000.0
2014-04-30,509900.0
2014-03-31,485000.0
2014-02-28,499000.0
2014-01-31,481500.0
2013-12-31,469700.0
2013-11-30,449900.0
2013-10-31,452850.0
2013-09-30,427000.0
2013-08-31,429000.0
2013-07-31,435000.0
2013-06-30,449900.0
2013-05-31,459000.0
2013-04-30,454700.0
2013-03-31,449000.0
2013-02-28,439900.0
2013-01-31,410000.0
2012-12-31,416995.0
2012-11-30,414990.0
2012-10-31,429000.0
2012-09-30,389900.0
2012-08-31,385000.0
2012-07-31,365000.0
2012-06-30,365000.0
2012-05-31,364900.0
2012-04-30,350000.0
2012-03-31,359000.0
2012-02-29,354450.0
2012-01-31,363450.0
2011-12-31,365000.0
2011-11-30,349949.5
2011-10-31,348000.0
2011-09-30,349900.0
2011-08-31,349900.0
2011-07-31,355000.0
2011-06-30,349900.0
2011-05-31,352450.0
2011-04-30,349000.0
2011-03-31,354900.0
2011-02-28,364900.0
2011-01-31,364900.0
2010-12-31,367250.0
2010-11-30,369700.0
2010-10-31,375000.0
2010-09-30,369000.0
2010-08-31,361900.0
2010-07-31,359000.0
2010-06-30,359700.0
2010-05-31,366546.0
2010-04-30,369950.0
2010-03-31,387450.0
2010-02-28,399900.0
2010-01-31,392450.0
