coordinates,name
"[-0.7573696702118861, 1.2605921757058876]",Wading Pool - Alvin Heights
"[-0.7571945203226652, 1.26084855107748]",Wading Pool - Optimiste
"[-0.7573482709251491, 1.2610035959236714]",Wading Pool - Kiwanis
"[-0.7573948852625304, 1.2610118975237459]",Wading Pool - St-Laurent
"[-0.758245045573857, 1.2610727541499978]",Wading Pool - Bearbrook
"[-0.756922442181575, 1.2610870067138156]",Wading Pool - Bingham
"[-0.7570641059132592, 1.2610911042043584]",Wading Pool - Jules Morin
"[-0.7573984784286492, 1.2611870400297798]",Wading Pool - St. Paul's
"[-0.7571525043270554, 1.261239739640528]",Wading Pool - Strathcona
"[-0.7573084824647125, 1.261325250959384]",Wading Pool - Overbrook
"[-0.7571116343682034, 1.261420639526743]",Wading Pool - Sandy Hill
"[-0.7571986152957082, 1.2614440700968406]",Wading Pool - Dutchie's Hole
"[-0.757419856372694, 1.2615443031860376]",Wading Pool - Cecil Morrison
"[-0.7570098721138382, 1.2616010602967624]",Wading Pool - St. Luke's
"[-0.7567441767532127, 1.2617478279937508]",Wading Pool - Chaudiere
"[-0.756852073565979, 1.2617721061456357]",Wading Pool - McNabb
"[-0.7571633613900783, 1.2618511362230913]",Wading Pool - Brantwood
"[-0.7574457115388217, 1.2618809341856967]",Wading Pool - Balena
"[-0.7564302113525732, 1.261901613921028]",Wading Pool - Champlain
"[-0.7576234601937104, 1.2619456063762078]",Wading Pool - Alda Burt
"[-0.7570576670811312, 1.2619501250380958]",Wading Pool - Sylvia Holden
"[-0.7565773832664677, 1.2619830313506806]",Wading Pool - Parkdale
"[-0.7567647244107847, 1.2620397521411106]",Wading Pool - Ev Tremblay
"[-0.756640633117287, 1.2620744073617873]",Wading Pool - Reid
"[-0.7576187750077147, 1.2621338128886495]",Wading Pool - Weston
"[-0.7571201840293719, 1.2621735868561268]",Wading Pool - Windsor
"[-0.7563567578018889, 1.2621806625377976]",Wading Pool - Lions
"[-0.7577210517645655, 1.2621972569338988]",Wading Pool - Hawthorne
"[-0.7564551033576168, 1.2622321559750898]",Wading Pool - Iona
"[-0.7575917477743411, 1.262312918048622]",Wading Pool - Canterbury
"[-0.7564961389128818, 1.2623711037526923]",Wading Pool - Hampton
"[-0.7563498442554007, 1.262469108014654]",Wading Pool - Westboro
"[-0.756216848675079, 1.2624844036478098]",Wading Pool - McKellar
"[-0.7572156422746208, 1.2624920418908403]",Wading Pool - Alta Vista
"[-0.7565633146577234, 1.2625685901458712]",Wading Pool - Alexander
"[-0.7571068948015862, 1.2625901465433966]",Wading Pool - Heron
"[-0.756631868871307, 1.2626255927113674]",Wading Pool - Meadowvale
"[-0.7564755190574094, 1.26267410398938]",Wading Pool - Raven
"[-0.7561577514751766, 1.26268685336111]",Wading Pool - Woodroffe
"[-0.7564910936192639, 1.262793905656711]",Wading Pool - Bellevue Manor
"[-0.7576865527928753, 1.2628563201749006]",Wading Pool - Elizabeth Manley
"[-0.7573088300448871, 1.2628877698596774]",Wading Pool - Frank Licari
"[-0.7568121638682467, 1.26291431420641]",Wading Pool - Rideauview
"[-0.7571139631461125, 1.2629476393546375]",Wading Pool - Pauline Vanier
"[-0.7562546543879204, 1.2629973614046428]",Wading Pool - Kingsmere
"[-0.757515488455333, 1.2630426385251805]",Wading Pool - Greenboro
"[-0.7558874623301968, 1.2631167054067562]",Wading Pool - Britannia
"[-0.7568541037440548, 1.2631446120117669]",Wading Pool - Carleton Heights
"[-0.7563438881966503, 1.2631458241729174]",Wading Pool - Agincourt
"[-0.757397261828285, 1.2631458975735108]",Wading Pool - Pushman
"[-0.7562563545472114, 1.263203852439612]",Wading Pool - Bel Air
"[-0.7561210915569975, 1.2632371547932404]",Wading Pool - Parkway
"[-0.7559893304322987, 1.26324080923781]",Wading Pool - Frank Ryan
"[-0.7558608630997383, 1.2632768777681802]",Wading Pool - Mich̬le
"[-0.7572316607253768, 1.2632907622017961]",Wading Pool - Owl
"[-0.7566727881807065, 1.2633650181360152]",Wading Pool - General Burns
"[-0.7559233943027529, 1.263373001668342]",Wading Pool - Ruth Wildgen
"[-0.7556085306799575, 1.2635218743380476]",Wading Pool - Corkstown
"[-0.756500201519718, 1.2635693743822993]",Wading Pool - Crestview
"[-0.755991852389742, 1.263574502351199]",Wading Pool - Lisa
"[-0.7557139406114124, 1.2640730781283736]",Wading Pool - Entrance
"[-0.7550338918761309, 1.2649324804800388]",Wading Pool - Glen Cairn
